#
# Relative radiance of NIST D_2 lamp 7 @ 300mA
# ( calibrated with Ar mini arc @ 45 A below 330 nm 
# and Tungsten strip lamp above 330 nm   12/98)
# valid range : 200 - 350 nm
#
# wavelength / nm     radiance / W cm^-3 sr^-1
354.17800965     3910.96579856
355.19253031     3869.69795297
356.20705097     3829.165902
357.22157163     3789.35458265
358.2360923      3750.24901773
359.25061296     3711.83432287
360.26513362     3674.09571313
361.27965428     3637.01850957
362.29417494     3600.58814553
363.3086956      3564.79017273
364.32321626     3529.61026719
365.33773693     3495.03423488
366.35225759     3461.04801725
367.36677825     3427.63769653
368.38129891     3394.78950084
369.39581957     3362.48980912
370.41034023     3330.72515584
371.42486089     3299.48223555
372.43938156     3268.74790726
373.45390222     3238.50919859
374.46842288     3208.75330974
375.48294354     3179.4676174
376.4974642      3150.63967824
377.51198486     3122.25723252
378.52650553     3094.30820727
379.54102619     3066.78071943
380.55554685     3039.66307884
381.57006751     3012.94379098
382.58458817     2986.61155959
383.59910883     2960.65528909
384.61362949     2935.06408695
385.62815016     2909.82726574
386.64267082     2884.93434509
387.65719148     2860.3750536
388.67171214     2836.1393304
389.6862328      2812.21732671
390.70075346     2788.5994072
391.71527412     2765.27615117
392.72979479     2742.23835364
393.74431545     2719.47702629
394.75883611     2696.98339818
395.77335677     2674.74891645
396.78787743     2652.76524679
397.80239809     2631.02427383
398.81691875     2609.51810133
399.83143942     2588.23905232
400.84596008     2567.17966907
401.86048074     2546.3327129
402.8750014      2525.69116391
403.88952206     2505.24822059
404.90404272     2484.99729927
405.91856338     2464.93203349
406.93308405     2445.04627319
407.94760471     2425.33408387
408.96212537     2405.78974557
409.97664603     2386.40775175
410.99116669     2367.1828081
412.00568735     2348.10983118
413.02020801     2329.18394699
414.03472868     2310.40048944
415.04924934     2291.75499871
416.06377        2273.24321947
417.07829066     2254.86109911
418.09281132     2236.60478571
419.10733198     2218.47062611
420.12185264     2200.45516367
421.13637331     2182.55513619
422.15089397     2164.76747346
423.16541463     2147.08929498
424.17993529     2129.51790746
425.19445595     2112.05080221
426.20897661     2094.68565261
427.22349727     2077.42031123
428.23801794     2060.25280723
429.2525386     2043.18134332
430.26705926     2026.20429293
431.28157992     2009.32019718
432.29610058     1992.52776174
433.31062124     1975.82585377
434.3251419      1959.2134986
435.33966257     1942.68987659
436.35418323     1926.2543197
437.36870389     1909.90630811
438.38322455     1893.6454668
439.39774521     1877.471562
440.41226587     1861.38449765
441.42678653     1845.38431187
442.4413072      1829.47117311
443.45582786     1813.64537668
444.47034852     1797.90734078
445.48486918     1782.25760287
446.49938984     1766.69681575
447.5139105      1751.22574374
448.52843116     1735.84525869
449.54295183     1720.55633611
450.55747249     1705.36005115
451.57199315     1690.25757463
452.58651381     1675.25016895
453.60103447     1660.33918404
454.61555513     1645.5260533
455.63007579     1630.81228945
456.64459646     1616.19948039
457.65911712     1601.68928508
458.67363778     1587.28342932
459.68815844     1572.9837016
460.7026791      1558.79194888
461.71719976     1544.7100724
462.73172042     1530.74002338
463.74624109     1516.88379893
464.76076175     1503.14343769
465.77528241     1489.52101561
466.78980307     1476.01864176
467.80432373     1462.63845408
468.81884439     1449.38261509
469.83336505     1436.25330772
470.84788572     1423.25273102
471.86240638     1410.38309603
472.87692704     1397.64662146
473.8914477      1385.0455296
474.90596836     1372.58204206
475.92048902     1360.25837564
476.93500968     1348.0767382
477.94953035     1336.03932449
478.96405101     1324.14831208
479.97857167     1312.40585727
480.99309233     1300.81409101
482.00761299     1289.37511492
483.02213365     1278.09099727
484.03665431     1266.96376903
485.05117498     1255.99541987
486.06569564     1245.18789439
487.0802163      1234.54308816
488.09473696     1224.06284399
489.10925762     1213.74894805
490.12377828     1203.60312622
491.13829894     1193.6270404
492.15281961     1183.82228486
493.16734027     1174.19038262
494.18186093     1164.73278201
495.19638159     1155.45085308
496.21090225     1146.34588423
497.22542291     1137.41907886
498.23994357     1128.67155203
499.25446424     1120.10432722
500.2689849      1111.71833318
501.28350556     1103.51440077
502.29802622     1095.49325992
503.31254688     1087.65553669
504.32706754     1080.00175032
505.3415882      1072.53231044
506.35610887     1065.24751423
507.37062953     1058.14754386
508.38515019     1051.23246379
509.39967085     1044.50221829
510.41419151     1037.95662903
511.42871217     1031.59539265
512.44323283     1025.41807861
513.4577535      1019.42412689
514.47227416     1013.61284606
515.48679482     1007.98341111
516.50131548     1002.53486174
517.51583614     997.26610041
518.5303568      992.17589078
519.54487746     987.26285598
520.55939813     982.52547725
521.57391879     977.96209244
522.58843945     973.5708948
523.60296011     969.34993179
524.61748077     965.29710402
525.63200143     961.41016434
526.64652209     957.6867169
527.66104276     954.12421661
528.67556342     950.71996835
529.69008408     947.47112669
530.70460474     944.37469534
531.7191254      941.42752714
532.73364606     938.62632377
533.74816672     935.96763592
534.76268739     933.44786335
535.77720805     931.06325524
536.79172871     928.80991064
537.80624937     926.68377899
538.82077003     924.68066079
539.83529069     922.79620859
540.84981135     921.0259278
541.86433202     919.36517797
542.87885268     917.809174
543.89337334     916.35298754
544.907894       914.99154865
545.92241466     913.71964746
546.93693532     912.53193617
547.95145598     911.4229309
548.96597665     910.38701407
549.98049731     909.41843673
550.99501797     908.51132098
552.00953863     907.65966281
553.02405929     906.85733479
554.03857995     906.09808928
555.05310061     905.37556154
556.06762128     904.68327299
557.08214194     904.01463499
558.0966626      903.3629523
