waveumber,lower_key,upper_key,probability
14716.7100,2|1F4)2F,a3F4p_z4G4*,0.0001
25155.6200,2|1I4)2I,a3F4p_z4G4*,0.0108
25506.8800,1|2F5),a3F4p_z4G4*,0.0248
25559.5700,2|1G4)2G,a3F4p_z4G4*,0.2899
25700.2000,1|2F5),a3F4p_z4G4*,0.0001
26820.9400,2|3G4)2G,a3F4p_z4G4*,1.2677
26875.0200,2|3G4)2G,a3F4p_z4G4*,0.0007
27114.3600,2|3D4)4D,a3F4p_z4G4*,0.0273
29111.4100,1|2G5),a3F4p_z4G4*,1.5458
29282.3700,1|2G5),a3F4p_z4G4*,0.0003
29676.4600,1|2H3),a3F4p_z4G4*,8.1685
29773.6000,1|2H3),a3F4p_z4G4*,0.4533
29776.4500,2|3F4)2F,a3F4p_z4G4*,20.3336
30571.0000,2|3H4)2H,a3F4p_z4G4*,16.7401
30753.0000,2|3H4)2H,a3F4p_z4G4*,1.0019
31689.8000,2|3G4)4G,a3F4p_z4G4*,0.1169
31765.0100,2|3G4)4G,a3F4p_z4G4*,14.8101
31862.8400,2|3G4)4G,a3F4p_z4G4*,2.0602
32529.6400,1|4F3),a3F4p_z4G4*,4.4834
32547.2700,1|4F3),a3F4p_z4G4*,2.9929
33028.2700,1|2F3),a3F4p_z4G4*,5.7820
34164.6000,2|3F4)4F,a3F4p_z4G4*,19.2873
34215.3700,2|3F4)4F,a3F4p_z4G4*,69.0496
35085.4400,2|3H4)4H,a3F4p_z4G4*,20.8119
35165.1400,2|3H4)4H,a3F4p_z4G4*,0.0147
35227.1600,2|3H4)4H,a3F4p_z4G4*,8.5653
35240.6500,1|2I5),a3F4p_z4G4*,0.1481
40350.2500,1|4D5),a3F4p_z4G4*,0.0236
44864.6200,1|4G5),a3F4p_z4G4*,3.4928
44866.1200,1|4G5),a3F4p_z4G4*,1.3920
44871.8500,1|4G5),a3F4p_z4G4*,3.4556
45359.9400,2|5D4)4D,a3F4p_z4G4*,0.2962
52887.5100,2|5D4)6D,a3F4p_z4G4*,0.0001
53080.0900,2|5D4)6D,a3F4p_z4G4*,0.0003
3020.5500,2|1G2)2G,a3F4p_z4G5*,0.0000
10841.8900,2|3F2)4F,a3F4p_z4G5*,0.0534
11786.4900,3|4F3)4F,a3F4p_z4G5*,0.0197
13388.4900,1|2G3),a3F4p_z4G5*,0.0013
25481.1700,2|1I4)2I,a3F4p_z4G5*,0.0007
25507.3800,2|1I4)2I,a3F4p_z4G5*,0.0053
25885.1200,2|1G4)2G,a3F4p_z4G5*,0.0233
27146.4900,2|3G4)2G,a3F4p_z4G5*,0.0073
29436.9600,1|2G5),a3F4p_z4G5*,0.0134
30002.0100,1|2H3),a3F4p_z4G5*,0.2241
30099.1500,1|2H3),a3F4p_z4G5*,0.0010
30896.5500,2|3H4)2H,a3F4p_z4G5*,0.0023
31078.5500,2|3H4)2H,a3F4p_z4G5*,0.0775
32015.3500,2|3G4)4G,a3F4p_z4G5*,32.5345
32090.5600,2|3G4)4G,a3F4p_z4G5*,5.3676
32855.1900,1|4F3),a3F4p_z4G5*,9.3286
34490.1500,2|3F4)4F,a3F4p_z4G5*,129.2343
35317.6700,2|3H4)4H,a3F4p_z4G5*,38.0962
35410.9900,2|3H4)4H,a3F4p_z4G5*,0.0298
35490.6900,2|3H4)4H,a3F4p_z4G5*,0.1360
35559.6700,1|2I5),a3F4p_z4G5*,0.2750
35566.2000,1|2I5),a3F4p_z4G5*,0.0140
45190.1700,1|4G5),a3F4p_z4G5*,2.2236
45197.4000,1|4G5),a3F4p_z4G5*,11.0521
53213.0600,2|5D4)6D,a3F4p_z4G5*,0.0033
