31835.7953   38563.00   70398.80      3G4s__b2G4 -     3G4p__y2H5       110
31838.866    33417.98   65256.85      3G4s__b4G2 -     a3F4p_z4G3        14
31849.280    77078.86  108928.14     1I4p__w2H5  -              -        37
31855.879    59570.15   91426.04      3F4s__e2F3 -     b3P4p_t2D2        15
31862.814    33521.09   65383.90      3G4s__b4G3 -     a3F4p_z4G4         9
31867.247    42986.60   74853.85      3D4s__b2D1 -     3D4p__y2P0        21
31871.5464   19797.86   51669.41      5D4s__a4D2 -     5D4p__z4F2      1300
31881.4042   35707.47   67588.87      d5____b2H5 -     3H4p__z2I6       170
31885.2234   38508.92   70394.15      3G4s__b2G3 -     3G4p__y2H4       120
31894.571    72648.52  104543.11     3G4p__x2G3  -      3G5s__g2G3        9
31895.7778   35610.31   67506.09      d5____b2H4 -     3H4p__z2I5       120
31918.6525   20024.01   51942.66      5D4s__a4D3 -     5D4p__z4F4      7100
31933.787    42986.60   74920.39      3D4s__b2D1 -     3D4p__x4P0        25
31949.637    72716.72  104666.35     3G4p__x2G4  -      3G5s__g2G4       30
31952.8941   19631.21   51584.10      5D4s__a4D1 -     5D4p__z4F1      1100
31982.70     45730.59   77713.27      1D4s__c2D2 -     a1S4p_x2P1        13
31985.871    33694.14   65680.01      3G4s__b4G5 -     3H4p__z2G4        37
31990.1542   34659.24   66649.39      3P4s__a2P0 -     a3P4p_z2P1       130
31990.9554   19797.86   51788.81      5D4s__a4D2 -     5D4p__z4F3      5300
32015.2970   33694.14   65709.44      3G4s__b4G5 -     a3F4p_z4G5       230
32021.803    33521.09   65542.90      3G4s__b4G3 -     3H4p__z2G3        10
32023.393    35355.90   67379.29      3P4s__a2P1 -     a3F4p_z2D1        42
32029.660    59526.68   91556.36      3P4s__b2P0 -     b3P4p_t2D1        30
32031.192    35355.90   67387.09      3P4s__a2P1 -     a3F4p_z2D2        27
32038.2000   19631.21   51669.41      5D4s__a4D1 -     5D4p__z4F2      3900
32055.8708   19528.23   51584.10      5D4s__a4D0 -     5D4p__z4F1      2600
32061.072    33618.94   65680.01      3G4s__b4G4 -     3H4p__z2G4        62
32070.219    32854.25   64924.46      d5____b4F4 -     a3P4p_y4D3        30
32075.4683   38508.92   70584.39      3G4s__b2G3 -     3G4p__y2F2        54
32086.7403   42897.96   74984.70      3D4s__b2D2 -     3D4p__y2P1        73
32090.504    33618.94   65709.44      3G4s__b4G4 -     a3F4p_z4G5        37
32107.892    45669.40   77777.30      1D4s__c2D1 -     a1S4p_x2P0        10
32124.916    33417.98   65542.90      3G4s__b4G2 -     3H4p__z2G3        37
32135.530    70107.62  102243.15     a3F4p_y2G4  -      a3F5s_f2F3       35
